0,1,2,3,4
12.400552,9.751316,7.963078,11.248356,8.550841
12.881162,11.371756,7.8819175,8.03575,9.147256
12.37428,10.051212,9.139582,11.823824,9.652058
12.603714,11.9286995,8.355583,9.947577,8.111454
11.558919,9.857757,7.131064,10.150494,8.417387
12.002343,11.438865,9.053514,11.43743,7.3930364
14.062251,11.015708,7.775169,11.099808,7.1172776
11.561539,9.825891,7.1616983,10.24445,8.493054
12.601074,10.8826065,8.821514,11.417925,8.501241
13.51646,10.653538,7.7790494,11.420784,6.7013583
11.61675,11.658258,9.09607,11.779727,7.0603113
12.620864,11.605717,8.228648,8.869963,8.593357
10.394727,9.518376,5.9799833,9.218365,7.9623632
14.602163,9.627309,9.225344,10.820974,6.463741
13.76185,9.692842,8.943243,10.882824,6.2820873
11.982897,9.293517,7.575573,11.066503,9.655131
12.485209,10.161006,9.204218,11.783264,9.425687
12.912289,12.411327,8.780933,10.135243,8.865917
13.089666,11.390793,7.680828,8.574226,8.842182
12.852549,10.022463,8.47591,11.043627,7.1377773
14.651194,10.691468,9.274017,11.567061,7.1609793
12.031987,9.759166,7.7226996,10.9733305,8.796569
13.433034,9.08014,9.456509,11.550349,5.7520943
13.363753,11.313446,8.596889,11.0061455,7.3972945
14.682202,9.993367,9.479332,10.792653,6.420925
13.434379,9.082986,9.458303,11.545388,5.7572865
14.397252,10.091822,9.347415,10.887071,6.3260355
11.475043,9.784766,7.068329,10.198286,8.40668
14.610188,9.605153,9.243291,10.821545,6.4614253
12.19631,9.528816,7.912593,11.5133915,8.712496
13.685835,9.722194,9.054538,10.893976,6.116833
12.412465,10.067065,9.158341,11.796538,9.630321
14.000606,9.954231,8.9857025,10.63586,7.2290645
14.69365,10.725772,9.279979,11.438246,6.9887033
13.187765,10.444441,9.826191,9.7412615,7.158307
12.832082,10.859146,6.812719,12.343705,6.3774095
12.590196,12.785171,9.20644,10.1219425,9.019338
13.384676,10.436051,9.726559,9.859069,7.0053315
11.759255,10.562193,7.8015947,9.027059,7.826725
14.013672,10.072691,9.416794,10.766683,6.427782
14.143991,10.507107,8.57474,10.986854,6.025666
13.708183,10.22101,9.724172,10.083567,6.730322
13.140771,12.089736,7.7063437,10.533593,7.812038
12.147521,11.104625,8.582973,9.298206,7.5818305
12.8996105,12.229696,7.313784,10.80755,7.3356037
11.777659,11.343995,9.001821,8.773867,7.6176276
13.060051,11.140649,7.3299503,11.391133,6.365402
11.859719,10.643808,8.277178,9.09623,7.707035
13.800528,10.246514,8.612662,11.0611725,5.919476
11.652982,11.037447,8.795116,8.543133,7.5343566
12.21089,9.587634,7.496203,10.797131,9.734854
11.67546,10.611597,8.238193,9.111815,7.8026056
12.439864,9.981815,9.097072,11.888407,9.5833645
14.208014,10.018313,9.517219,10.430638,6.806899
14.192361,10.685518,8.878345,10.300563,6.6849246
13.061101,10.401876,9.923444,10.102209,7.095435
11.885667,10.577473,8.214624,9.150153,7.6657877
12.413997,10.135188,9.173718,11.786874,9.495641
11.336122,10.389082,7.2732353,8.267498,7.811965
12.008852,9.325796,7.643618,11.104078,9.799533
12.700677,11.3651285,7.79031,12.319906,6.0170064
12.751865,12.038341,8.43429,9.765737,8.372828
10.6995945,9.696238,6.2227263,9.358197,7.7627406
13.303782,10.663057,9.172241,10.57738,7.405182
11.938092,10.500603,8.151198,9.34515,7.5479302
13.779179,9.566277,8.861243,10.916344,6.284518
14.728983,10.075354,9.542999,10.821561,6.3012238
10.801446,9.875242,6.294631,9.503528,7.338661
12.363058,9.855497,7.884927,11.196004,8.465114
12.553698,11.063831,7.558408,7.9757276,8.87354
12.758719,11.250133,7.770698,8.076101,8.895481
14.060767,9.789303,9.137799,10.881206,6.2165127
12.7423315,11.057979,6.7697916,12.442412,6.2045875
14.849792,10.764725,9.332511,11.5711,7.063197
13.87225,10.305649,9.11371,11.026884,6.330635
12.887344,11.287164,7.591113,8.231867,8.829762
12.450519,10.062141,9.131641,11.808386,9.576057
13.845049,9.621152,8.883254,10.976362,6.4721584
14.199007,10.946379,7.7713637,11.065288,6.969062
12.485376,10.040662,9.154234,11.838546,9.592411
12.65065,11.024571,8.807883,11.069563,8.161977
13.674017,9.802305,9.298717,10.77797,6.078769
12.5855465,11.88356,8.54,10.021138,8.122359
12.62684,10.658356,8.981406,11.439693,8.690851
13.075834,11.378495,7.6054077,8.398181,8.963717
12.30153,10.0233965,9.097412,11.795561,9.73548
12.453912,10.053877,9.10682,11.8094635,9.565724
12.681323,11.1252165,7.6225586,8.11665,8.822661
12.466932,10.090941,9.158473,11.78154,9.515462
14.374214,9.758112,8.888812,10.680596,7.352285
12.4747305,10.227723,9.166339,11.750549,9.326608
13.283317,10.162333,8.996986,10.446306,7.0966945
13.436169,10.111527,8.949467,10.512928,7.244381
12.630352,12.117865,8.917844,9.991133,8.633702
12.450197,10.447939,9.117503,11.601791,9.072936
12.5474615,10.245335,8.982826,11.561399,9.120894
14.595354,10.265846,9.298591,11.001888,6.351272
12.508048,9.888192,7.8691926,11.307863,8.157298
12.146344,9.490528,7.932455,11.589934,8.792913
12.62328,11.126001,8.710906,10.993287,8.167917
12.544317,10.461103,9.207825,11.470399,8.8481045
13.2972765,10.023749,7.553202,11.87113,7.501087
12.86361,11.498607,8.043653,8.399585,8.788734
12.07208,9.740073,7.781912,11.010984,8.774869
11.360735,11.879225,7.3103433,10.1894245,7.475807
14.09188,10.859732,7.65216,11.253494,7.3382015
13.627818,10.78117,8.509969,11.475959,7.1269627
12.816033,11.266788,7.6983523,8.1069565,8.846797
12.986211,10.419453,8.626526,11.563114,7.0096097
13.547955,11.346202,9.370928,10.9933815,6.289773
